Customer_ID,Age,Gender,Marital_Status,Dependents,Occupation,Income_Bracket,Credit_Score,Location,Current_Product,Browsed_Products,Recommended_Product,Life_Stage,Avg_Monthly_Spend,Savings_Rate,Existing_Loans,Digital_Engagement_Score,Transaction_Frequency,Last_Product_Viewed,Last_Login_Date,Channel_Used,Campaign_Response,Churn_Risk,Recommendation_Reason,Conversion_Probability,Recommended_By,Offer_Available
CUST00001,60,Female,Married,1,Retired,Medium,697,Urban,Premium Credit Card,"Travel Insurance, Mutual Funds",Personal Loan (Travel),Young Professional,17520,0.23,None,9,Medium,Retirement Fund,2025-09-10,Mobile App,Yes,Low,Matched to profile,0.72,Hybrid,No
CUST00002,50,Female,Single,1,Self-Employed,Medium,313,Metro,Basic Credit Card,"Travel Insurance, Mutual Funds",Personal Loan,Early Career,64048,0.49,None,9,High,Retirement Fund,2025-09-23,Branch,No,Medium,Similar customers bought this,0.19,Content-Based,No
CUST00003,36,Female,Single,2,Retired,Low,606,Semi-Urban,Savings Account,"Micro-loans, Budget Credit Card",Basic Credit Card,Pre-Retirement,50303,0.15,None,10,Medium,Micro-loans,2025-09-03,Website,No,Low,Similar customers bought this,0.89,Hybrid,No
CUST00004,64,Male,Married,1,Self-Employed,High,661,Urban,Student Credit Card,"Savings Account, Bike Loan",Entry-Level Credit Card,Mid-Career Professional,130376,0.32,None,9,Medium,Savings Account,2025-09-16,Branch,Yes,Medium,Matched to profile,0.57,Content-Based,No
CUST00005,29,Female,Married,0,Other,Medium,842,Metro,Student Credit Card,"Micro-loans, Budget Credit Card",Entry-Level Credit Card,Young Professional,138134,0.39,Personal Loan,8,High,Savings Account,2025-09-17,Mobile App,No,Low,Based on browsing history,0.11,Hybrid,No
CUST00006,42,Male,Married,0,Government,Low,317,Rural,Savings Account,"Travel Insurance, Mutual Funds",Basic Credit Card,Mid-Career Professional,120260,0.11,Car Loan,5,High,Gold Investment,2025-09-24,Website,No,Medium,Based on browsing history,0.75,Content-Based,No
CUST00007,60,Female,Married,0,Self-Employed,Low,323,Semi-Urban,Savings Account,"Savings Account, Bike Loan",Basic Credit Card,Pre-Retirement,94002,0.49,Personal Loan,1,Medium,Travel Insurance,2025-09-23,Website,No,High,Similar customers bought this,0.49,Hybrid,No
CUST00008,40,Male,Married,0,Government,Medium,438,Rural,Basic Credit Card,"Savings Account, Bike Loan",Personal Loan,Mid-Career Professional,18159,0.36,None,7,Medium,Fixed Deposit,2025-09-26,Branch,No,Low,Matched to profile,0.35,Hybrid,No
CUST00009,44,Male,Married,3,IT,Medium,350,Rural,Premium Credit Card,"Savings Account, Bike Loan",Personal Loan (Travel),Young Professional,158921,0.08,Home Loan,4,Low,Fixed Deposit,2025-09-28,Mobile App,No,Low,Similar customers bought this,0.22,Hybrid,No
CUST00010,32,Male,Married,2,Government,Medium,750,Semi-Urban,Student Credit Card,"Retirement Fund, Health Insurance",Entry-Level Credit Card,Pre-Retirement,43134,0.08,Personal Loan,1,Low,Retirement Fund,2025-09-01,Branch,Yes,Medium,Matched to profile,0.31,Collaborative Filtering,Yes
CUST00011,32,Male,Single,3,Government,Medium,313,Metro,Basic Credit Card,"Fixed Deposit, Home Loan",Personal Loan,Early Career,167144,0.19,Home Loan,5,High,Retirement Fund,2025-09-11,Website,Yes,Low,Based on browsing history,0.57,Collaborative Filtering,No
CUST00012,45,Male,Single,1,Government,Medium,638,Metro,Premium Credit Card,"Travel Insurance, Mutual Funds",Personal Loan (Travel),Early Career,5069,0.48,None,6,High,Gold Investment,2025-09-24,Mobile App,No,Low,Similar customers bought this,0.63,Content-Based,No
CUST00013,57,Female,Married,1,IT,High,397,Metro,Student Credit Card,"Savings Account, Bike Loan",Entry-Level Credit Card,Early Career,159393,0.43,Car Loan,6,Low,Retirement Fund,2025-09-02,Mobile App,Yes,Low,Similar customers bought this,0.75,Collaborative Filtering,No
CUST00014,61,Female,Single,1,Retired,Medium,536,Metro,Basic Credit Card,"Gold Investment, Life Insurance",Personal Loan,Pre-Retirement,174556,0.39,Personal Loan,8,Medium,Travel Insurance,2025-09-11,Mobile App,No,Medium,Based on browsing history,0.27,Collaborative Filtering,No
CUST00015,45,Male,Single,0,Self-Employed,High,493,Rural,Premium Credit Card,"Retirement Fund, Health Insurance",Personal Loan (Travel),Pre-Retirement,142341,0.16,None,5,High,Fixed Deposit,2025-09-12,Branch,No,Low,Based on browsing history,0.58,Hybrid,Yes
